Freq.	V(n002)
1.19674053130724e+00	(-2.74865162455282e-05dB,-1.63653597468482e-06°)
1.19949930314938e+00	(-2.74865162445638e-05dB,-1.64030857996021e-06°)
1.20226443461741e+00	(-2.74865162397422e-05dB,-1.64408988155561e-06°)
1.20503594037179e+00	(-2.74865162368492e-05dB,-1.64787990014437e-06°)
1.20781383510678e+00	(-2.74865162339562e-05dB,-1.65167865570409e-06°)
1.21059813355048e+00	(-2.74865162300989e-05dB,-1.65548616841116e-06°)
1.21338885046497e+00	(-2.74865162262416e-05dB,-1.65930245804438e-06°)
1.21618600064636e+00	(-2.74865162233486e-05dB,-1.66312754517772e-06°)
1.21898959892486e+00	(-2.74865162194912e-05dB,-1.66696145028574e-06°)
1.22179966016487e+00	(-2.74865162146696e-05dB,-1.67080419324664e-06°)
1.22461619926504e+00	(-2.74865162117766e-05dB,-1.67465579453497e-06°)
1.22743923115840e+00	(-2.74865162088836e-05dB,-1.67851627492349e-06°)
1.23026877081238e+00	(-2.74865162050263e-05dB,-1.68238565448916e-06°)
1.23310483322890e+00	(-2.74865162030976e-05dB,-1.68626395400474e-06°)
1.23594743344451e+00	(-2.74865162002046e-05dB,-1.69015119374599e-06°)
1.23879658653036e+00	(-2.74865161963473e-05dB,-1.69404739478382e-06°)
1.24165230759241e+00	(-2.74865161924900e-05dB,-1.69795257729460e-06°)
1.24451461177138e+00	(-2.74865161876683e-05dB,-1.70186676234926e-06°)
1.24738351424294e+00	(-2.74865161847753e-05dB,-1.70578997042234e-06°)
1.25025903021771e+00	(-2.74865161799537e-05dB,-1.70972222238596e-06°)
1.25314117494141e+00	(-2.74865161770607e-05dB,-1.71366353911226e-06°)
1.25602996369487e+00	(-2.74865161751320e-05dB,-1.71761394147334e-06°)
1.25892541179416e+00	(-2.74865161712747e-05dB,-1.72157345063952e-06°)
1.26182753459066e+00	(-2.74865161674174e-05dB,-1.72554208728412e-06°)
1.26473634747115e+00	(-2.74865161635601e-05dB,-1.72951987257744e-06°)
1.26765186585784e+00	(-2.74865161597027e-05dB,-1.73350682759039e-06°)
1.27057410520854e+00	(-2.74865161568098e-05dB,-1.73750297359265e-06°)
1.27350308101666e+00	(-2.74865161539168e-05dB,-1.74150833165513e-06°)
1.27643880881134e+00	(-2.74865161490951e-05dB,-1.74552292294812e-06°)
1.27938130415752e+00	(-2.74865161462021e-05dB,-1.74954676894009e-06°)
1.28233058265602e+00	(-2.74865161423448e-05dB,-1.75357989080134e-06°)
1.28528665994361e+00	(-2.74865161384875e-05dB,-1.75762230990094e-06°)
1.28824955169313e+00	(-2.74865161346301e-05dB,-1.76167404760797e-06°)
1.29121927361353e+00	(-2.74865161307728e-05dB,-1.76573512578846e-06°)
1.29419584144998e+00	(-2.74865161269155e-05dB,-1.76980556571211e-06°)
1.29717927098395e+00	(-2.74865161240225e-05dB,-1.77388538884738e-06°)
1.30016957803328e+00	(-2.74865161182365e-05dB,-1.77797461706030e-06°)
1.30316677845229e+00	(-2.74865161153435e-05dB,-1.78207327191873e-06°)
1.30617088813183e+00	(-2.74865161114862e-05dB,-1.78618137489113e-06°)
1.30918192299940e+00	(-2.74865161076289e-05dB,-1.79029894824112e-06°)
1.31219989901920e+00	(-2.74865161037716e-05dB,-1.79442601363593e-06°)
1.31522483219223e+00	(-2.74865161008786e-05dB,-1.79856259284222e-06°)
1.31825673855640e+00	(-2.74865160960569e-05dB,-1.80270870772600e-06°)
1.32129563418657e+00	(-2.74865160921996e-05dB,-1.80686438055089e-06°)
1.32434153519466e+00	(-2.74865160883423e-05dB,-1.81102963298412e-06°)
1.32739445772973e+00	(-2.74865160844850e-05dB,-1.81520448758747e-06°)
1.33045441797808e+00	(-2.74865160806276e-05dB,-1.81938896602820e-06°)
1.33352143216332e+00	(-2.74865160767703e-05dB,-1.82358309066928e-06°)
1.33659551654643e+00	(-2.74865160729130e-05dB,-1.82778688377431e-06°)
1.33967668742593e+00	(-2.74865160690557e-05dB,-1.83200036780569e-06°)
1.34276496113786e+00	(-2.74865160651984e-05dB,-1.83622356482821e-06°)
1.34586035405594e+00	(-2.74865160603767e-05dB,-1.84045649740366e-06°)
1.34896288259164e+00	(-2.74865160565194e-05dB,-1.84469918769623e-06°)
1.35207256319427e+00	(-2.74865160526621e-05dB,-1.84895165846647e-06°)
1.35518941235103e+00	(-2.74865160468761e-05dB,-1.85321393217677e-06°)
1.35831344658715e+00	(-2.74865160430188e-05dB,-1.85748603168708e-06°)
1.36144468246594e+00	(-2.74865160391614e-05dB,-1.86176797926099e-06°)
1.36458313658892e+00	(-2.74865160353041e-05dB,-1.86605979755965e-06°)
1.36772882559584e+00	(-2.74865160314468e-05dB,-1.87036150954240e-06°)
1.37088176616484e+00	(-2.74865160266251e-05dB,-1.87467313836737e-06°)
1.37404197501251e+00	(-2.74865160227678e-05dB,-1.87899470629814e-06°)
1.37720946889394e+00	(-2.74865160179462e-05dB,-1.88332623639344e-06°)
1.38038426460288e+00	(-2.74865160131245e-05dB,-1.88766775161261e-06°)
1.38356637897177e+00	(-2.74865160092672e-05dB,-1.89201927541194e-06°)
1.38675582887188e+00	(-2.74865160044455e-05dB,-1.89638083015441e-06°)
1.38995263121334e+00	(-2.74865159996239e-05dB,-1.90075243949509e-06°)
1.39315680294529e+00	(-2.74865159957666e-05dB,-1.90513412639333e-06°)
1.39636836105593e+00	(-2.74865159909449e-05dB,-1.90952591410663e-06°)
1.39958732257261e+00	(-2.74865159861233e-05dB,-1.91392782599188e-06°)
1.40281370456195e+00	(-2.74865159822659e-05dB,-1.91833988530660e-06°)
1.40604752412990e+00	(-2.74865159784086e-05dB,-1.92276211520889e-06°)
1.40928879842186e+00	(-2.74865159735870e-05dB,-1.92719453985080e-06°)
1.41253754462274e+00	(-2.74865159697296e-05dB,-1.93163718199287e-06°)
1.41579377995707e+00	(-2.74865159639436e-05dB,-1.93609006568773e-06°)
1.41905752168908e+00	(-2.74865159600863e-05dB,-1.94055321419290e-06°)
1.42232878712281e+00	(-2.74865159571933e-05dB,-1.94502665146162e-06°)
1.42560759360218e+00	(-2.74865159514074e-05dB,-1.94951040075139e-06°)
1.42889395851109e+00	(-2.74865159456214e-05dB,-1.95400448641303e-06°)
1.43218789927353e+00	(-2.74865159407997e-05dB,-1.95850893200221e-06°)
1.43548943335364e+00	(-2.74865159379067e-05dB,-1.96302376147219e-06°)
1.43879857825583e+00	(-2.74865159340494e-05dB,-1.96754899867682e-06°)
1.44211535152486e+00	(-2.74865159292277e-05dB,-1.97208466737055e-06°)
1.44543977074592e+00	(-2.74865159234418e-05dB,-1.97663079200359e-06°)
1.44877185354475e+00	(-2.74865159186201e-05dB,-1.98118739662857e-06°)
1.45211161758773e+00	(-2.74865159147628e-05dB,-1.98575450519875e-06°)
1.45545908058195e+00	(-2.74865159109055e-05dB,-1.99033214216431e-06°)
1.45881426027534e+00	(-2.74865159031908e-05dB,-1.99492033147851e-06°)
1.46217717445671e+00	(-2.74865159002978e-05dB,-1.99951909779033e-06°)
1.46554784095590e+00	(-2.74865158954762e-05dB,-2.00412846545058e-06°)
1.46892627764385e+00	(-2.74865158887259e-05dB,-2.00874845861127e-06°)
1.47231250243271e+00	(-2.74865158848685e-05dB,-2.01337910212019e-06°)
1.47570653327588e+00	(-2.74865158800469e-05dB,-2.01802042022874e-06°)
1.47910838816819e+00	(-2.74865158752252e-05dB,-2.02267243768530e-06°)
1.48251808514594e+00	(-2.74865158694393e-05dB,-2.02733517933764e-06°)
1.48593564228699e+00	(-2.74865158655819e-05dB,-2.03200866953656e-06°)
1.48936107771090e+00	(-2.74865158597960e-05dB,-2.03669293332861e-06°)
1.49279440957898e+00	(-2.74865158559386e-05dB,-2.04138799526338e-06°)
1.49623565609442e+00	(-2.74865158511170e-05dB,-2.04609388078499e-06°)
1.49968483550236e+00	(-2.74865158443667e-05dB,-2.05081061434363e-06°)
1.50314196609001e+00	(-2.74865158385807e-05dB,-2.05553822108524e-06°)
1.50660706618673e+00	(-2.74865158327947e-05dB,-2.06027672605637e-06°)
1.51008015416413e+00	(-2.74865158289374e-05dB,-2.06502615430355e-06°)
1.51356124843619e+00	(-2.74865158250801e-05dB,-2.06978653137031e-06°)
1.51705036745932e+00	(-2.74865158192941e-05dB,-2.07455788210440e-06°)
1.52054752973248e+00	(-2.74865158144724e-05dB,-2.07934023175114e-06°)
1.52405275379728e+00	(-2.74865158096508e-05dB,-2.08413360615222e-06°)
1.52756605823806e+00	(-2.74865158029005e-05dB,-2.08893803025479e-06°)
1.53108746168202e+00	(-2.74865157990431e-05dB,-2.09375352980113e-06°)
1.53461698279928e+00	(-2.74865157932571e-05dB,-2.09858013013597e-06°)
1.53815464030302e+00	(-2.74865157874712e-05dB,-2.10341785700158e-06°)
1.54170045294954e+00	(-2.74865157826495e-05dB,-2.10826673584208e-06°)
1.54525443953840e+00	(-2.74865157768635e-05dB,-2.11312679269793e-06°)
1.54881661891247e+00	(-2.74865157720419e-05dB,-2.11799805291384e-06°)
1.55238700995807e+00	(-2.74865157662559e-05dB,-2.12288054262966e-06°)
1.55596563160506e+00	(-2.74865157623986e-05dB,-2.12777428768708e-06°)
1.55955250282694e+00	(-2.74865157546839e-05dB,-2.13267931412654e-06°)
1.56314764264094e+00	(-2.74865157508266e-05dB,-2.13759564769033e-06°)
1.56675107010813e+00	(-2.74865157421476e-05dB,-2.14252331451830e-06°)
1.57036280433354e+00	(-2.74865157382903e-05dB,-2.14746234094908e-06°)
1.57398286446620e+00	(-2.74865157325043e-05dB,-2.15241275282434e-06°)
1.57761126969933e+00	(-2.74865157276827e-05dB,-2.15737457678089e-06°)
1.58124803927037e+00	(-2.74865157209324e-05dB,-2.16234783856101e-06°)
1.58489319246110e+00	(-2.74865157151464e-05dB,-2.16733256519907e-06°)
1.58854674859776e+00	(-2.74865157112890e-05dB,-2.17232878293431e-06°)
1.59220872705115e+00	(-2.74865157045387e-05dB,-2.17733651790657e-06°)
1.59587914723672e+00	(-2.74865156987528e-05dB,-2.18235579695145e-06°)
1.59955802861465e+00	(-2.74865156939311e-05dB,-2.18738664650696e-06°)
1.60324539069002e+00	(-2.74865156881451e-05dB,-2.19242909370687e-06°)
1.60694125301286e+00	(-2.74865156823591e-05dB,-2.19748316459162e-06°)
1.61064563517825e+00	(-2.74865156775375e-05dB,-2.20254888649376e-06°)
1.61435855682647e+00	(-2.74865156707872e-05dB,-2.20762628614950e-06°)
1.61808003764305e+00	(-2.74865156659655e-05dB,-2.21271539009622e-06°)
1.62181009735891e+00	(-2.74865156582509e-05dB,-2.21781622596466e-06°)
1.62554875575047e+00	(-2.74865156524649e-05dB,-2.22292882039162e-06°)
1.62929603263970e+00	(-2.74865156466789e-05dB,-2.22805320051085e-06°)
1.63305194789432e+00	(-2.74865156389643e-05dB,-2.23318939375429e-06°)
1.63681652142779e+00	(-2.74865156331783e-05dB,-2.23833742695752e-06°)
1.64058977319952e+00	(-2.74865156273923e-05dB,-2.24349732755248e-06°)
1.64437172321491e+00	(-2.74865156216063e-05dB,-2.24866912297109e-06°)
1.64816239152549e+00	(-2.74865156167847e-05dB,-2.25385284064529e-06°)
1.65196179822900e+00	(-2.74865156100343e-05dB,-2.25904850810640e-06°)
1.65576996346951e+00	(-2.74865156032840e-05dB,-2.26425615258757e-06°)
1.65958690743754e+00	(-2.74865155974981e-05dB,-2.26947580231587e-06°)
1.66341265037015e+00	(-2.74865155907477e-05dB,-2.27470748432565e-06°)
1.66724721255104e+00	(-2.74865155839974e-05dB,-2.27995122674459e-06°)
1.67109061431069e+00	(-2.74865155791758e-05dB,-2.28520705700463e-06°)
1.67494287602642e+00	(-2.74865155733898e-05dB,-2.29047500333281e-06°)
1.67880401812254e+00	(-2.74865155656751e-05dB,-2.29575509345925e-06°)
1.68267406107045e+00	(-2.74865155598892e-05dB,-2.30104735561101e-06°)
1.68655302538872e+00	(-2.74865155521745e-05dB,-2.30635181761759e-06°)
1.69044093164324e+00	(-2.74865155454242e-05dB,-2.31166850760664e-06°)
1.69433780044731e+00	(-2.74865155406026e-05dB,-2.31699745380524e-06°)
1.69824365246172e+00	(-2.74865155338522e-05dB,-2.32233868463923e-06°)
1.70215850839493e+00	(-2.74865155280663e-05dB,-2.32769222803749e-06°)
1.70608238900310e+00	(-2.74865155222803e-05dB,-2.33305811282343e-06°)
1.71001531509027e+00	(-2.74865155136013e-05dB,-2.33843636722411e-06°)
1.71395730750840e+00	(-2.74865155068510e-05dB,-2.34382701986416e-06°)
1.71790838715757e+00	(-2.74865155010650e-05dB,-2.34923009916941e-06°)
1.72186857498599e+00	(-2.74865154943147e-05dB,-2.35464563396328e-06°)
1.72583789199018e+00	(-2.74865154885287e-05dB,-2.36007365257222e-06°)
1.72981635921508e+00	(-2.74865154808141e-05dB,-2.36551418421719e-06°)
1.73380399775412e+00	(-2.74865154740637e-05dB,-2.37096725772161e-06°)
1.73780082874935e+00	(-2.74865154682778e-05dB,-2.37643290171010e-06°)
1.74180687339159e+00	(-2.74865154595988e-05dB,-2.38191114530423e-06°)
1.74582215292048e+00	(-2.74865154518841e-05dB,-2.38740201742681e-06°)
1.74984668862464e+00	(-2.74865154470625e-05dB,-2.39290554759699e-06°)
1.75388050184174e+00	(-2.74865154393478e-05dB,-2.39842176463816e-06°)
1.75792361395867e+00	(-2.74865154316332e-05dB,-2.40395069777131e-06°)
1.76197604641161e+00	(-2.74865154268115e-05dB,-2.40949237641617e-06°)
1.76603782068614e+00	(-2.74865154190969e-05dB,-2.41504682999251e-06°)
1.77010895831740e+00	(-2.74865154113823e-05dB,-2.42061408782068e-06°)
1.77418948089014e+00	(-2.74865154036676e-05dB,-2.42619417951923e-06°)
1.77827941003890e+00	(-2.74865153969173e-05dB,-2.43178713480609e-06°)
1.78237876744807e+00	(-2.74865153892027e-05dB,-2.43739298320038e-06°)
1.78648757485203e+00	(-2.74865153824523e-05dB,-2.44301175432065e-06°)
1.79060585403527e+00	(-2.74865153766664e-05dB,-2.44864347808361e-06°)
1.79473362683250e+00	(-2.74865153679874e-05dB,-2.45428818410779e-06°)
1.79887091512876e+00	(-2.74865153612371e-05dB,-2.45994590260808e-06°)
1.80301774085955e+00	(-2.74865153535224e-05dB,-2.46561666369996e-06°)
1.80717412601090e+00	(-2.74865153467721e-05dB,-2.47130049710137e-06°)
1.81134009261958e+00	(-2.74865153400218e-05dB,-2.47699743322596e-06°)
1.81551566277311e+00	(-2.74865153323072e-05dB,-2.48270750189104e-06°)
1.81970085860996e+00	(-2.74865153236282e-05dB,-2.48843073380848e-06°)
1.82389570231961e+00	(-2.74865153168779e-05dB,-2.49416715919313e-06°)
1.82810021614272e+00	(-2.74865153091632e-05dB,-2.49991680816049e-06°)
1.83231442237119e+00	(-2.74865153024129e-05dB,-2.50567971162118e-06°)
1.83653834334832e+00	(-2.74865152937339e-05dB,-2.51145589969070e-06°)
1.84077200146893e+00	(-2.74865152860193e-05dB,-2.51724540367722e-06°)
1.84501541917945e+00	(-2.74865152792690e-05dB,-2.52304825369624e-06°)
1.84926861897805e+00	(-2.74865152705900e-05dB,-2.52886448045958e-06°)
1.85353162341479e+00	(-2.74865152638397e-05dB,-2.53469411527544e-06°)
1.85780445509167e+00	(-2.74865152551607e-05dB,-2.54053718855748e-06°)
1.86208713666284e+00	(-2.74865152474461e-05dB,-2.54639373171328e-06°)
1.86637969083464e+00	(-2.74865152387671e-05dB,-2.55226377555406e-06°)
1.87068214036577e+00	(-2.74865152310525e-05dB,-2.55814735108983e-06°)
1.87499450806739e+00	(-2.74865152233378e-05dB,-2.56404448962877e-06°)
1.87931681680324e+00	(-2.74865152156232e-05dB,-2.56995522287664e-06°)
1.88364908948977e+00	(-2.74865152079085e-05dB,-2.57587958154526e-06°)
1.88799134909627e+00	(-2.74865151992295e-05dB,-2.58181759724100e-06°)
1.89234361864495e+00	(-2.74865151915149e-05dB,-2.58776930117265e-06°)
1.89670592121112e+00	(-2.74865151838003e-05dB,-2.59373472574170e-06°)
1.90107827992327e+00	(-2.74865151760856e-05dB,-2.59971390185875e-06°)
1.90546071796322e+00	(-2.74865151674066e-05dB,-2.60570686122957e-06°)
1.90985325856621e+00	(-2.74865151587277e-05dB,-2.61171363595745e-06°)
1.91425592502106e+00	(-2.74865151510130e-05dB,-2.61773425764877e-06°)
1.91866874067026e+00	(-2.74865151423340e-05dB,-2.62376875830743e-06°)
1.92309172891013e+00	(-2.74865151346194e-05dB,-2.62981716983797e-06°)
1.92752491319091e+00	(-2.74865151259404e-05dB,-2.63587952464187e-06°)
1.93196831701690e+00	(-2.74865151182258e-05dB,-2.64195585462367e-06°)
1.93642196394658e+00	(-2.74865151095468e-05dB,-2.64804619178728e-06°)
1.94088587759275e+00	(-2.74865151008678e-05dB,-2.65415056863358e-06°)
1.94536008162263e+00	(-2.74865150912245e-05dB,-2.66026901766345e-06°)
1.94984459975802e+00	(-2.74865150835099e-05dB,-2.66640157107958e-06°)
1.95433945577537e+00	(-2.74865150748309e-05dB,-2.67254826158164e-06°)
1.95884467350596e+00	(-2.74865150671163e-05dB,-2.67870912157111e-06°)
1.96336027683602e+00	(-2.74865150555443e-05dB,-2.68488418384704e-06°)
1.96788628970682e+00	(-2.74865150478297e-05dB,-2.69107348110909e-06°)
1.97242273611482e+00	(-2.74865150381864e-05dB,-2.69727704605692e-06°)
1.97696964011183e+00	(-2.74865150295074e-05dB,-2.70349491178774e-06°)
1.98152702580507e+00	(-2.74865150208284e-05dB,-2.70972711129940e-06°)
1.98609491735734e+00	(-2.74865150121494e-05dB,-2.71597367739094e-06°)
1.99067333898716e+00	(-2.74865150053991e-05dB,-2.72223464315957e-06°)
1.99526231496885e+00	(-2.74865149957558e-05dB,-2.72851004229888e-06°)
1.99986186963271e+00	(-2.74865149870768e-05dB,-2.73479990740913e-06°)
2.00447202736513e+00	(-2.74865149774335e-05dB,-2.74110427228327e-06°)
2.00909281260870e+00	(-2.74865149677902e-05dB,-2.74742317031671e-06°)
2.01372424986236e+00	(-2.74865149591112e-05dB,-2.75375663480544e-06°)
2.01836636368153e+00	(-2.74865149494679e-05dB,-2.76010469964183e-06°)
2.02301917867824e+00	(-2.74865149407890e-05dB,-2.76646739792307e-06°)
2.02768271952125e+00	(-2.74865149311457e-05dB,-2.77284476383972e-06°)
2.03235701093619e+00	(-2.74865149205380e-05dB,-2.77923683118472e-06°)
2.03704207770569e+00	(-2.74865149118591e-05dB,-2.78564363394982e-06°)
2.04173794466950e+00	(-2.74865149031801e-05dB,-2.79206520562979e-06°)
2.04644463672464e+00	(-2.74865148925724e-05dB,-2.79850158061396e-06°)
2.05116217882553e+00	(-2.74865148848578e-05dB,-2.80495279289406e-06°)
2.05589059598411e+00	(-2.74865148752145e-05dB,-2.81141887685939e-06°)
2.06062991326997e+00	(-2.74865148655712e-05dB,-2.81789986679988e-06°)
2.06538015581050e+00	(-2.74865148549636e-05dB,-2.82439579700543e-06°)
2.07014134879101e+00	(-2.74865148453202e-05dB,-2.83090670156718e-06°)
2.07491351745488e+00	(-2.74865148356769e-05dB,-2.83743261566957e-06°)
2.07969668710366e+00	(-2.74865148250693e-05dB,-2.84397357340372e-06°)
2.08449088309726e+00	(-2.74865148154260e-05dB,-2.85052960975530e-06°)
2.08929613085401e+00	(-2.74865148057827e-05dB,-2.85710075891481e-06°)
2.09411245585086e+00	(-2.74865147961394e-05dB,-2.86368705626548e-06°)
2.09893988362349e+00	(-2.74865147874604e-05dB,-2.87028853679297e-06°)
2.10377843976644e+00	(-2.74865147768528e-05dB,-2.87690523508536e-06°)
2.10862814993326e+00	(-2.74865147662451e-05dB,-2.88353718652587e-06°)
2.11348903983661e+00	(-2.74865147566018e-05dB,-2.89018442649771e-06°)
2.11836113524847e+00	(-2.74865147479229e-05dB,-2.89684698958897e-06°)
2.12324446200018e+00	(-2.74865147363509e-05dB,-2.90352491158044e-06°)
2.12813904598268e+00	(-2.74865147276719e-05dB,-2.91021822765654e-06°)
2.13304491314654e+00	(-2.74865147170643e-05dB,-2.91692697379685e-06°)
2.13796208950220e+00	(-2.74865147064567e-05dB,-2.92365118498701e-06°)
2.14289060112002e+00	(-2.74865146939204e-05dB,-2.93039089661023e-06°)
2.14783047413050e+00	(-2.74865146842771e-05dB,-2.93714614544122e-06°)
2.15278173472434e+00	(-2.74865146727051e-05dB,-2.94391696666441e-06°)
2.15774440915263e+00	(-2.74865146620974e-05dB,-2.95070339606057e-06°)
2.16271852372698e+00	(-2.74865146514898e-05dB,-2.95750547000684e-06°)
2.16770410481966e+00	(-2.74865146447395e-05dB,-2.96432322408521e-06°)
2.17270117886371e+00	(-2.74865146312389e-05dB,-2.97115669487159e-06°)
2.17770977235312e+00	(-2.74865146215956e-05dB,-2.97800591854433e-06°)
2.18272991184296e+00	(-2.74865146109879e-05dB,-2.98487093108299e-06°)
2.18776162394952e+00	(-2.74865145994160e-05dB,-2.99175176926226e-06°)
2.19280493535041e+00	(-2.74865145897727e-05dB,-2.99864846945927e-06°)
2.19785987278479e+00	(-2.74865145772364e-05dB,-3.00556106805115e-06°)
2.20292646305342e+00	(-2.74865145675931e-05dB,-3.01248960181258e-06°)
2.20800473301886e+00	(-2.74865145569854e-05dB,-3.01943410771705e-06°)
2.21309470960560e+00	(-2.74865145463778e-05dB,-3.02639462194289e-06°)
2.21819641980018e+00	(-2.74865145348058e-05dB,-3.03337118225871e-06°)
2.22330989065136e+00	(-2.74865145232339e-05dB,-3.04036382484286e-06°)
2.22843514927026e+00	(-2.74865145126262e-05dB,-3.04737258726514e-06°)
